"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_00084",0.712729898404677,3.17149806734908,2.22292588073476,1.42672236390571,0.153659936786999,NA
"AENJPLPP_00087",0.271517698378112,-1.30369482218768,3.06450131049116,-0.425418262255116,0.670531795465162,NA
"AENJPLPP_00089",0.323323525708639,0.559848395506652,2.94324524780572,0.190214660475214,0.849140923449997,NA
"AENJPLPP_00091",0.323323525708639,0.559848395506652,2.94324524780572,0.190214660475214,0.849140923449997,NA
"AENJPLPP_00121",0.307907469585917,0.559847991004969,2.99018055166912,0.187228824925793,0.851481225412301,NA
"AENJPLPP_00148",0.405363266526068,-1.88360690304036,2.47871370907742,-0.759913053347916,0.447306558502474,NA
"AENJPLPP_00152",0,NA,NA,NA,NA,NA
"AENJPLPP_00158",0.426240693280467,-0.307414187115533,2.52565596004779,-0.121716572636329,0.903123487762025,NA
"AENJPLPP_00168",0.621561542026753,0.439488235204301,2.14730862705571,0.204669338010767,0.837830477980773,NA
"AENJPLPP_00172",0.553490739887417,-0.393190419154391,2.47084429789407,-0.159132009851658,0.87356486932754,NA
"AENJPLPP_00173",0.394463374018252,0.559849846938173,2.76828911070671,0.202236769553037,0.839731629026136,NA
"AENJPLPP_00207",1.0018392991623,-0.873154676446234,1.79044279080983,-0.487675272802937,0.625779869131178,NA
"AENJPLPP_00221",0.667211511636376,-2.60715153081256,2.08266799859484,-1.25183252086822,0.210630897301418,NA
"AENJPLPP_00224",0.548878287941827,-2.31527120284202,2.23432021214568,-1.03623070241065,0.300094526471803,NA
"AENJPLPP_00231",0.401536704443868,-1.8731899645423,2.85049457053724,-0.657145599891198,0.511087300706724,NA
"AENJPLPP_00232",0,NA,NA,NA,NA,NA
"AENJPLPP_00250",0,NA,NA,NA,NA,NA
"AENJPLPP_00252",0.266460697055899,1.52162516071186,3.3510175907527,0.454078535699382,0.649772301619617,NA
"AENJPLPP_00271",0.79600007846212,-1.31682197025695,2.06516227816159,-0.637636075470635,0.523710606414162,NA
"AENJPLPP_00274",0.697313842281956,3.14578398549027,2.23590457047214,1.40694018297301,0.15944512690566,NA
"AENJPLPP_00280",1.02638397084551,2.55245762301416,1.93133459763064,1.32160301283139,0.186300379616855,NA
"AENJPLPP_00283",0.389850922072661,-1.84018810487413,2.66635269556176,-0.690151797223669,0.490098732642899,NA
"AENJPLPP_00288",0.575598605881829,-0.936222040324524,2.26851603003988,-0.412702413351721,0.679824656460939,NA
"AENJPLPP_00289",0.313654072440836,0.559848146239939,2.97225590779935,0.188357989219862,0.850596029943291,NA
"AENJPLPP_00290",0,NA,NA,NA,NA,NA
"AENJPLPP_00291",0.53336594348842,-2.2842915344639,2.25121012150163,-1.01469494679608,0.310251263653754,NA
"AENJPLPP_00292",0.55472117912743,-2.32817928480056,2.34865098670546,-0.991283633872899,0.321547102218726,NA
"AENJPLPP_00293",0.128002676962353,-0.401943885934528,4.0804728567969,-0.098504242042685,0.921531903680528,NA
"AENJPLPP_00294",0.164392448170158,1.5216106515451,4.02997289839292,0.377573420444562,0.705747512944394,NA
"AENJPLPP_00295",0.128002676962353,-0.401943885934528,4.0804728567969,-0.098504242042685,0.921531903680528,NA
"AENJPLPP_00296",0,NA,NA,NA,NA,NA
"AENJPLPP_00297",0,NA,NA,NA,NA,NA
"AENJPLPP_00300",0.128002676962353,-0.401943885934528,4.0804728567969,-0.098504242042685,0.921531903680528,NA
"AENJPLPP_00321",0.128002676962353,-0.401943885934528,4.0804728567969,-0.098504242042685,0.921531903680528,NA
"AENJPLPP_00326",0.133845568147956,-0.401943885934528,4.0804728567969,-0.098504242042685,0.921531903680528,NA
"AENJPLPP_00343",0.822412315423342,-2.90029419494524,2.07503414069393,-1.39770914514945,0.162200426905871,NA
"AENJPLPP_00381",0.825761068620931,-1.6371870677645,1.9385000642188,-0.844563844997483,0.398354402640348,NA
"AENJPLPP_00395",0.415032719793871,-1.9099245685569,2.61355708114546,-0.730775915450764,0.464916036885782,NA
"AENJPLPP_00396",0.143515021415759,-0.401943885934528,4.0804728567969,-0.0985042420426849,0.921531903680528,NA
"AENJPLPP_00397",0,NA,NA,NA,NA,NA
"AENJPLPP_00416",0.143515021415759,-0.401943885934528,4.0804728567969,-0.0985042420426849,0.921531903680528,NA
"AENJPLPP_00419",0.830277232235836,0.0983518108946641,2.02269758772263,0.0486240807778878,0.961218878974595,NA
"AENJPLPP_00429",0.292395125132511,0.559847544303192,3.04117085374529,0.184089474490959,0.853943263509088,NA
"AENJPLPP_00463",0.344200952463038,2.29608689209511,2.82885557592139,0.811666354280828,0.416983105449573,NA
"AENJPLPP_00471",0.451326202670991,-0.340555885978653,2.48457264131055,-0.137068194471874,0.890976892281605,NA
"AENJPLPP_00496",0.441753037733873,-0.361228705378637,2.49859473899662,-0.144572747128932,0.885048215774481,NA
"AENJPLPP_00574",0.143515021415759,-0.401943885934528,4.0804728567969,-0.0985042420426849,0.921531903680528,NA
"AENJPLPP_00575",0.847020015929256,-1.64631618132307,1.91105485054029,-0.86146987401101,0.388979306496471,NA
"AENJPLPP_00618",0.585171770818947,-0.921516834223414,2.16325876842353,-0.425985484341741,0.670118423219545,NA
"AENJPLPP_00633",0,NA,NA,NA,NA,NA
"AENJPLPP_00700",0,NA,NA,NA,NA,NA
"AENJPLPP_00728",0,NA,NA,NA,NA,NA
"AENJPLPP_00735",0.307907469585917,0.559847991004969,2.99018055166912,0.187228824925793,0.851481225412301,NA
"AENJPLPP_00736",0.394463374018252,0.559849846938173,2.76828911070671,0.202236769553037,0.839731629026136,NA
"AENJPLPP_00738",0.164392448170158,1.5216106515451,4.02997289839292,0.377573420444562,0.705747512944394,NA
"AENJPLPP_00739",0,NA,NA,NA,NA,NA
