"","BH1","BH2","BH3","Serum1","Serum2","Serum3"
"AENJPLPP_01067",223.883433408584,233.694361986331,223.492673976268,102.320907669465,136.116947084891,125.146718987844
"AENJPLPP_01068",30.1381544973094,32.1229363555094,33.024690656287,9.59258509401236,13.8089656462933,6.47310615454366
"AENJPLPP_01069",44.7766866817168,40.1536704443868,43.0088994593505,118.308549492819,121.321626749577,117.594761807543
"AENJPLPP_01070",28.4159742403203,39.3505970354991,30.7206424709646,55.9567463817388,66.0857641644035,77.677273854524
"AENJPLPP_01071",11.1941716704292,15.258394768867,9.98420880306351,11.1913492763478,18.740739091398,22.6558715409028
"AENJPLPP_01072",188.578738140307,230.48206835078,208.90036880256,391.697224672171,410.323550632714,393.780624401406
"AENJPLPP_01073",6.88872102795643,4.01536704443868,8.44817667951528,1.59876418233539,1.9727093780419,3.23655307727183
"AENJPLPP_01074",18.9439828268802,22.4860554488566,13.8242891119341,22.3826985526955,16.7680297133561,22.6558715409028
"AENJPLPP_01075",0.861090128494554,4.81844045332642,5.37611243241881,3.19752836467079,1.9727093780419,2.15770205151455
"AENJPLPP_01076",3.44436051397822,13.6522479510915,12.2882569883859,4.79629254700618,4.93177344510474,1.07885102575728
"AENJPLPP_01077",266.937939833312,233.694361986331,203.524256370141,60.7530389287449,48.3313797620264,55.0214023136211
"AENJPLPP_01078",3.44436051397822,2.40922022666321,5.37611243241881,3.19752836467079,8.87719220118853,6.47310615454366
"AENJPLPP_01079",18.0828926983856,25.6983490844075,14.5923051737082,81.5369732991051,83.8401485667806,127.304421039359
"AENJPLPP_01080",0,0,0.768016061774116,3.19752836467079,0,1.07885102575728
"AENJPLPP_01081",16.3607124413965,8.8338074977651,14.5923051737082,1.59876418233539,6.90448282314663,6.47310615454366
"AENJPLPP_01082",48.221047195695,32.1229363555094,52.993108262414,11.1913492763478,9.86354689020948,9.7096592318155
"AENJPLPP_01083",12.9163519274183,22.4860554488566,38.4008030887058,1.59876418233539,1.9727093780419,6.47310615454366
"AENJPLPP_01084",0,0,0,0,0,0
"AENJPLPP_01085",0,0,0.768016061774116,0,0,0
"AENJPLPP_01086",0.861090128494554,0.803073408887736,0,0,0.986354689020948,0
"AENJPLPP_01087",0.861090128494554,0,1.53603212354823,0,0,0
"AENJPLPP_01088",1.72218025698911,2.40922022666321,0,0,0,3.23655307727183
"AENJPLPP_01089",1.72218025698911,2.40922022666321,3.84008030887058,0,1.9727093780419,0
"AENJPLPP_01090",11.1941716704292,2.40922022666321,6.91214455596705,1.59876418233539,0,1.07885102575728
"AENJPLPP_01091",36.1657853967713,34.5321565821726,31.4886585327388,49.5616896523972,63.1267000973407,69.0464656484657
"AENJPLPP_01092",17.2218025698911,15.258394768867,21.5044497296753,7.99382091167697,12.8226109572723,11.86736128333
"AENJPLPP_01093",14.6385321844074,21.6829820399689,27.6485782238682,19.1851701880247,22.6861578474818,20.4981694893883
"AENJPLPP_01094",16.3607124413965,9.63688090665283,17.6643694208047,4.79629254700618,11.8362562682514,12.9462123090873
"AENJPLPP_01095",0.861090128494554,1.60614681777547,5.37611243241881,6.39505672934157,7.89083751216758,6.47310615454366
"AENJPLPP_01096",21.5272532123639,12.8491745422038,15.3603212354823,46.3641612877264,66.0857641644035,65.8099125711939
"AENJPLPP_01097",17.2218025698911,15.258394768867,17.6643694208047,46.3641612877264,50.3040891400683,52.8637002621066
"AENJPLPP_01098",65.4428497655861,93.9595888398651,94.4659755982163,166.271474962881,186.421036224959,155.354547709048
"AENJPLPP_01099",40.471236039244,35.3352299910604,42.2408833975764,43.1666329230556,63.1267000973407,59.3368064166502
"AENJPLPP_01100",49.9432274526841,44.9721108977132,62.2093010037034,83.1357374814404,90.7446313899272,96.0177412923977
"AENJPLPP_01101",7.74981115645099,6.42458727110189,11.5202409266117,20.7839343703601,19.727093780419,16.1827653863592
"AENJPLPP_01102",2.58327038548366,2.40922022666321,1.53603212354823,3.19752836467079,2.95906406706284,2.15770205151455
"AENJPLPP_01103",6.02763089946188,4.01536704443868,0.768016061774116,4.79629254700618,3.94541875608379,2.15770205151455
"AENJPLPP_01104",4.30545064247277,2.40922022666321,3.84008030887058,4.79629254700618,3.94541875608379,0
"AENJPLPP_01105",0.861090128494554,1.60614681777547,1.53603212354823,1.59876418233539,2.95906406706284,1.07885102575728
"AENJPLPP_01106",0.861090128494554,2.40922022666321,2.30404818532235,0,0,0
"AENJPLPP_01107",0.861090128494554,2.40922022666321,1.53603212354823,1.59876418233539,0.986354689020948,1.07885102575728
"AENJPLPP_01108",0,0.803073408887736,0.768016061774116,1.59876418233539,2.95906406706284,2.15770205151455
